k K E
0.000 1.570796 1.570796
0.005 1.570806 1.570787
0.010 1.570836 1.570757
0.015 1.570885 1.570708
0.020 1.570953 1.570639
0.025 1.571042 1.570551
0.030 1.571150 1.570443
0.035 1.571278 1.570315
0.040 1.571425 1.570168
0.045 1.571592 1.570001
0.050 1.571779 1.569814
0.055 1.571986 1.569608
0.060 1.572213 1.569382
0.065 1.572459 1.569136
0.070 1.572726 1.568870
0.075 1.573012 1.568585
0.080 1.573319 1.568280
0.085 1.573645 1.567955
0.090 1.573992 1.567611
0.095 1.574359 1.567246
0.100 1.574746 1.566862
0.105 1.575153 1.566458
0.110 1.575581 1.566034
0.115 1.576029 1.565590
0.120 1.576497 1.565126
0.125 1.576987 1.564642
0.130 1.577497 1.564139
0.135 1.578028 1.563615
0.140 1.578579 1.563071
0.145 1.579152 1.562507
0.150 1.579746 1.561923
0.155 1.580361 1.561319
0.160 1.580997 1.560694
0.165 1.581654 1.560050
0.170 1.582334 1.559385
0.175 1.583034 1.558700
0.180 1.583757 1.557995
0.185 1.584502 1.557269
0.190 1.585268 1.556522
0.195 1.586057 1.555756
0.200 1.586868 1.554969
0.205 1.587701 1.554161
0.210 1.588558 1.553332
0.215 1.589437 1.552483
0.220 1.590338 1.551614
0.225 1.591264 1.550723
0.230 1.592212 1.549812
0.235 1.593184 1.548880
0.240 1.594179 1.547927
0.245 1.595199 1.546952
0.250 1.596242 1.545957
0.255 1.597310 1.544941
0.260 1.598402 1.543904
0.265 1.599519 1.542845
0.270 1.600661 1.541765
0.275 1.601828 1.540664
0.280 1.603020 1.539541
0.285 1.604238 1.538396
0.290 1.605482 1.537230
0.295 1.606752 1.536043
0.300 1.608049 1.534833
0.305 1.609372 1.533602
0.310 1.610722 1.532349
0.315 1.612099 1.531074
0.320 1.613504 1.529777
0.325 1.614936 1.528458
0.330 1.616397 1.527116
0.335 1.617886 1.525752
0.340 1.619404 1.524366
0.345 1.620951 1.522957
0.350 1.622528 1.521525
0.355 1.624135 1.520071
0.360 1.625771 1.518594
0.365 1.627438 1.517094
0.370 1.629137 1.515571
0.375 1.630866 1.514024
0.380 1.632628 1.512455
0.385 1.634421 1.510862
0.390 1.636248 1.509245
0.395 1.638107 1.507605
0.400 1.640000 1.505942
0.405 1.641927 1.504254
0.410 1.643888 1.502542
0.415 1.645885 1.500806
0.420 1.647917 1.499046
0.425 1.649985 1.497262
0.430 1.652090 1.495453
0.435 1.654232 1.493619
0.440 1.656411 1.491761
0.445 1.658629 1.489877
0.450 1.660886 1.487968
0.455 1.663183 1.486034
0.460 1.665520 1.484075
0.465 1.667898 1.482090
0.470 1.670317 1.480079
0.475 1.672779 1.478042
0.480 1.675284 1.475979
0.485 1.677833 1.473890
0.490 1.680426 1.471774
0.495 1.683065 1.469632
0.500 1.685750 1.467462
0.505 1.688483 1.465266
0.510 1.691263 1.463042
0.515 1.694093 1.460791
0.520 1.696972 1.458512
0.525 1.699902 1.456205
0.530 1.702885 1.453870
0.535 1.705920 1.451506
0.540 1.709009 1.449114
0.545 1.712154 1.446693
0.550 1.715354 1.444243
0.555 1.718613 1.441764
0.560 1.721930 1.439255
0.565 1.725308 1.436716
0.570 1.728747 1.434147
0.575 1.732249 1.431548
0.580 1.735815 1.428918
0.585 1.739447 1.426256
0.590 1.743146 1.423564
0.595 1.746915 1.420840
0.600 1.750754 1.418083
0.605 1.754665 1.415295
0.610 1.758651 1.412474
0.615 1.762713 1.409620
0.620 1.766853 1.406732
0.625 1.771073 1.403811
0.630 1.775376 1.400856
0.635 1.779763 1.397866
0.640 1.784236 1.394842
0.645 1.788799 1.391782
0.650 1.793454 1.388686
0.655 1.798203 1.385555
0.660 1.803050 1.382386
0.665 1.807996 1.379181
0.670 1.813045 1.375938
0.675 1.818201 1.372657
0.680 1.823466 1.369337
0.685 1.828844 1.365978
0.690 1.834339 1.362580
0.695 1.839954 1.359141
0.700 1.845694 1.355661
0.705 1.851562 1.352140
0.710 1.857564 1.348577
0.715 1.863703 1.344971
0.720 1.869985 1.341322
0.725 1.876415 1.337628
0.730 1.882999 1.333890
0.735 1.889742 1.330106
0.740 1.896650 1.326276
0.745 1.903731 1.322398
0.750 1.910990 1.318472
0.755 1.918435 1.314497
0.760 1.926075 1.310473
0.765 1.933917 1.306397
0.770 1.941970 1.302269
0.775 1.950244 1.298089
0.780 1.958748 1.293854
0.785 1.967494 1.289564
0.790 1.976494 1.285218
0.795 1.985759 1.280813
0.800 1.995303 1.276350
0.805 2.005140 1.271826
0.810 2.015287 1.267240
0.815 2.025759 1.262590
0.820 2.036575 1.257875
0.825 2.047754 1.253093
0.830 2.059319 1.248242
0.835 2.071293 1.243321
0.840 2.083701 1.238326
0.845 2.096572 1.233256
0.850 2.109935 1.228108
0.855 2.123827 1.222881
0.860 2.138283 1.217570
0.865 2.153347 1.212174
0.870 2.169065 1.206688
0.875 2.185488 1.201111
0.880 2.202677 1.195437
0.885 2.220697 1.189663
0.890 2.239622 1.183785
0.895 2.259541 1.177798
0.900 2.280549 1.171697
0.905 2.302762 1.165476
0.910 2.326312 1.159128
0.915 2.351354 1.152647
0.920 2.378071 1.146025
0.925 2.406684 1.139252
0.930 2.437458 1.132319
0.935 2.470717 1.125214
0.940 2.506865 1.117924
0.945 2.546411 1.110433
0.950 2.590011 1.102722
0.955 2.638531 1.094769
0.960 2.693143 1.086546
0.965 2.755493 1.078020
0.970 2.827995 1.069146
0.975 2.914396 1.059865
0.980 3.020980 1.050092
0.985 3.159543 1.039701
0.990 3.356601 1.028476
